,,,MRTA UNDERGROUND STRUCTURE-SOUTH,,,,,Location: SILOM STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contractor: JV BCKT,,,,,Type of Instrument & No.,,,IN-3-DS-5 (A) Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Construction Office: B,,,,,Readout No.: DATAMATE,,,S/N:11248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Subcontractor: LEO JOVIAN,,,,,Date:,12/31/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Base Date:  13/03/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deflection,,,,,,,,,,,,Elevation (m),12/11/1999,12/13/1999,12/17/1999,12/21/1999,12/24/1999,12/28/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.50,10.58,,,,,,,,,,,,11.00,10.15,11.65,11.21,11.04,10.62,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.00,10.04,,,,,,,,,,,,11.50,9.79,11.01,10.57,10.48,10.16,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.50,9.68,,,,,,,,,,,,12.00,8.75,10.55,10.21,10.14,9.84,9.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.00,9.22,,,,,,,,,,,,12.50,8.18,10.31,10.13,10.02,9.78,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.50,9.14,,,,,,,,,,,,13.00,7.03,9.71,9.61,9.54,8.98,8.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.00,8.30,,,,,,,,,,,,13.50,6.81,9.22,9.12,9.17,8.65,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.50,8.03,,,,,,,,,,,,14.00,6.32,8.67,8.69,8.74,8.24,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.00,7.70,,,,,,,,,,,,14.50,6.20,8.18,8.32,8.31,7.91,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.50,7.41,,,,,,,,,,,,15.00,5.90,7.69,7.87,7.90,7.30,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.00,6.84,,,,,,,,,,,,15.50,5.63,7.25,6.93,7.06,6.52,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.50,6.04,,,,,,,,,,,,16.00,5.43,7.01,6.67,6.60,6.18,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.00,5.74,,,,,,,,,,,,16.50,5.26,6.83,6.75,6.50,6.08,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.50,5.56,,,,,,,,,,,,17.00,5.03,6.59,6.73,6.32,5.80,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.00,5.32,,,,,,,,,,,,17.50,4.82,6.35,6.65,6.14,5.68,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.50,5.06,,,,,,,,,,,,18.00,4.86,6.23,6.89,6.08,5.52,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.00,5.04,,,,,,,,,,,,18.50,4.51,5.88,6.52,5.79,5.29,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.50,4.53,,,,,,,,,,,,19.00,4.57,5.98,6.50,5.97,5.59,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.00,4.87,,,,,,,,,,,,19.50,3.95,5.63,6.17,5.90,5.48,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.50,4.84,,,,,,,,,,,,20.00,4.50,5.61,5.93,5.68,5.44,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.00,5.16,,,,,,,,,,,,20.50,3.87,5.67,6.19,6.14,5.64,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.50,5.26,,,,,,,,,,,,21.00,3.80,5.52,5.76,5.57,5.03,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.00,4.71,,,,,,,,,,,,21.50,3.43,5.47,6.03,6.06,5.66,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.50,5.34,,,,,,,,,,,,22.00,3.83,5.27,5.57,5.50,5.08,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.00,4.82,,,,,,,,,,,,22.50,3.22,5.08,5.66,5.51,5.07,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.50,4.88,,,,,,,,,,,,23.00,3.75,4.97,5.33,5.62,5.14,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.00,5.01,,,,,,,,,,,,23.50,3.57,4.80,5.34,5.51,5.21,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.50,5.16,,,,,,,,,,,,24.00,3.14,4.69,5.07,5.40,5.28,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.00,5.31,,,,,,,,,,,,24.50,3.32,4.70,5.04,5.33,5.41,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.50,5.48,,,,,,,,,,,,25.00,3.16,4.65,4.81,5.22,5.46,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
